Package	Version	LibPath	Built
vctrs	0.7.3	C:/Users/YunhaoJiang/Desktop/bioinformatics-paper/.tools/R-library	4.5.3
viridisLite	0.4.3	C:/Users/YunhaoJiang/Desktop/bioinformatics-paper/.tools/R-library	4.5.3
withr	3.0.3	C:/Users/YunhaoJiang/Desktop/bioinformatics-paper/.tools/R-library	4.5.3
KernSmooth	2.23-26	C:/Program Files/R/R-4.5.2/library	4.5.2
MASS	7.3-65	C:/Program Files/R/R-4.5.2/library	4.5.2
Matrix	1.7-4	C:/Program Files/R/R-4.5.2/library	4.5.2
base	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
boot	1.3-32	C:/Program Files/R/R-4.5.2/library	4.5.2
class	7.3-23	C:/Program Files/R/R-4.5.2/library	4.5.2
cluster	2.1.8.1	C:/Program Files/R/R-4.5.2/library	4.5.2
codetools	0.2-20	C:/Program Files/R/R-4.5.2/library	4.5.2
compiler	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
datasets	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
foreign	0.8-90	C:/Program Files/R/R-4.5.2/library	4.5.2
grDevices	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
graphics	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
grid	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
lattice	0.22-7	C:/Program Files/R/R-4.5.2/library	4.5.2
methods	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
mgcv	1.9-3	C:/Program Files/R/R-4.5.2/library	4.5.2
nlme	3.1-168	C:/Program Files/R/R-4.5.2/library	4.5.2
nnet	7.3-20	C:/Program Files/R/R-4.5.2/library	4.5.2
parallel	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
rpart	4.1.24	C:/Program Files/R/R-4.5.2/library	4.5.2
spatial	7.3-18	C:/Program Files/R/R-4.5.2/library	4.5.2
splines	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
stats	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
stats4	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
survival	3.8-3	C:/Program Files/R/R-4.5.2/library	4.5.2
tcltk	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
tools	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
translations	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
utils	4.5.2	C:/Program Files/R/R-4.5.2/library	4.5.2
