panel,held_out,method,budget,level,mae_pp,summary
b,IGTB195,music_weighted,120,ratio10,4.976242678574859,donor
b,IGTB1913,music_weighted,120,balanced,4.5120955538593,donor
b,IGTB1913,music_weighted,120,ratio2,4.624451705784715,donor
b,IGTB1913,music_weighted,120,ratio4,4.8078750195598445,donor
b,IGTB1913,music_weighted,120,ratio10,5.23384705734373,donor
b,HC-572,music_weighted,120,balanced,6.379255394637893,donor
b,HC-572,music_weighted,120,ratio2,6.378241478840994,donor
b,HC-572,music_weighted,120,ratio4,6.394412588489924,donor
b,HC-572,music_weighted,120,ratio10,6.370616280725859,donor
b,HC-014,music_weighted,120,balanced,8.470092825374596,donor
b,HC-014,music_weighted,120,ratio2,8.426027044276807,donor
b,HC-014,music_weighted,120,ratio4,8.357618445484599,donor
b,HC-014,music_weighted,120,ratio10,8.124389314015827,donor
b,IGTB1921,music_weighted,120,balanced,4.451599712766716,donor
b,IGTB1921,music_weighted,120,ratio2,4.514905546077148,donor
b,IGTB1921,music_weighted,120,ratio4,4.467045507180096,donor
b,IGTB1921,music_weighted,120,ratio10,4.753391236713576,donor
b,IGTB826,music_weighted,120,balanced,5.115250639057789,donor
b,IGTB826,music_weighted,120,ratio2,5.13793018264155,donor
b,IGTB826,music_weighted,120,ratio4,5.08256759400446,donor
b,IGTB826,music_weighted,120,ratio10,5.067662738622479,donor
b,IGTB1966,music_weighted,120,balanced,7.951213791729598,donor
b,IGTB1966,music_weighted,120,ratio2,7.996104766115419,donor
b,IGTB1966,music_weighted,120,ratio4,7.925222963870732,donor
b,IGTB1966,music_weighted,120,ratio10,7.864306794152169,donor
b,IGTB498,music_weighted,120,balanced,4.565737460752225,donor
b,IGTB498,music_weighted,120,ratio2,4.637206939649378,donor
b,IGTB498,music_weighted,120,ratio4,4.7243621257367385,donor
b,IGTB498,music_weighted,120,ratio10,4.991179061294101,donor
b,mean,music_weighted,120,balanced,5.178185295736104,mean
b,mean,music_weighted,120,ratio2,5.219502616381676,mean
b,mean,music_weighted,120,ratio4,5.24497072084408,mean
b,mean,music_weighted,120,ratio10,5.453714390189163,mean
c,HC-502,music_weighted,300,balanced,4.482855491529794,donor
c,HC-502,music_weighted,300,ratio2,4.477648453545318,donor
c,HC-502,music_weighted,300,ratio4,4.407110845934285,donor
c,HC-502,music_weighted,300,ratio10,4.4354929288365454,donor
c,IGTB256,music_weighted,300,balanced,4.289597258533679,donor
c,IGTB256,music_weighted,300,ratio2,4.298651628366831,donor
c,IGTB256,music_weighted,300,ratio4,4.212338624116814,donor
c,IGTB256,music_weighted,300,ratio10,4.276918834487289,donor
c,IGTB514,music_weighted,300,balanced,3.719334346336023,donor
c,IGTB514,music_weighted,300,ratio2,3.754174630339112,donor
c,IGTB514,music_weighted,300,ratio4,3.8131182031467783,donor
c,IGTB514,music_weighted,300,ratio10,4.089527346901003,donor
c,IGTB1506,music_weighted,300,balanced,5.468351049177586,donor
c,IGTB1506,music_weighted,300,ratio2,5.399254935658301,donor
c,IGTB1506,music_weighted,300,ratio4,5.288777813465749,donor
c,IGTB1506,music_weighted,300,ratio10,5.080003525362325,donor
c,IGTB508,music_weighted,300,balanced,4.268743436726793,donor
c,IGTB508,music_weighted,300,ratio2,4.2682721605970055,donor
c,IGTB508,music_weighted,300,ratio4,4.222783256581058,donor
c,IGTB508,music_weighted,300,ratio10,4.317982103510204,donor
c,IGTB1650,music_weighted,300,balanced,4.221239621209599,donor
c,IGTB1650,music_weighted,300,ratio2,4.235947066094568,donor
c,IGTB1650,music_weighted,300,ratio4,4.320164462119554,donor
c,IGTB1650,music_weighted,300,ratio10,4.464198722929996,donor
c,IGTB195,music_weighted,300,balanced,4.846399878032055,donor
c,IGTB195,music_weighted,300,ratio2,4.837252536685761,donor
c,IGTB195,music_weighted,300,ratio4,4.796365223940689,donor
c,IGTB195,music_weighted,300,ratio10,4.643243931432253,donor
c,IGTB1913,music_weighted,300,balanced,4.200971937788269,donor
c,IGTB1913,music_weighted,300,ratio2,4.254009833045681,donor
c,IGTB1913,music_weighted,300,ratio4,4.340940537261472,donor
c,IGTB1913,music_weighted,300,ratio10,4.644263276291075,donor
c,HC-572,music_weighted,300,balanced,6.451294369105709,donor
c,HC-572,music_weighted,300,ratio2,6.459791875482422,donor
c,HC-572,music_weighted,300,ratio4,6.343903357372699,donor
c,HC-572,music_weighted,300,ratio10,6.321369105006461,donor
c,HC-014,music_weighted,300,balanced,8.5968761384927,donor
c,HC-014,music_weighted,300,ratio2,8.580162536296532,donor
c,HC-014,music_weighted,300,ratio4,8.474234440922714,donor
c,HC-014,music_weighted,300,ratio10,8.380873803540458,donor
c,IGTB1921,music_weighted,300,balanced,4.733485313700996,donor
c,IGTB1921,music_weighted,300,ratio2,4.723433198714309,donor
c,IGTB1921,music_weighted,300,ratio4,4.700608269035151,donor
c,IGTB1921,music_weighted,300,ratio10,4.54266817832541,donor
c,IGTB826,music_weighted,300,balanced,5.8863067260910045,donor
c,IGTB826,music_weighted,300,ratio2,5.843250060352788,donor
c,IGTB826,music_weighted,300,ratio4,5.546642179258007,donor
c,IGTB826,music_weighted,300,ratio10,5.180068883975214,donor
c,IGTB1966,music_weighted,300,balanced,7.998033044125496,donor
c,IGTB1966,music_weighted,300,ratio2,8.071935272271663,donor
c,IGTB1966,music_weighted,300,ratio4,8.034652012488598,donor
c,IGTB1966,music_weighted,300,ratio10,7.924734774106461,donor
c,IGTB498,music_weighted,300,balanced,4.760768536106112,donor
c,IGTB498,music_weighted,300,ratio2,4.726273095683855,donor
c,IGTB498,music_weighted,300,ratio4,4.670145254516445,donor
c,IGTB498,music_weighted,300,ratio10,4.698986827346364,donor
c,mean,music_weighted,300,balanced,5.280304081925415,mean
c,mean,music_weighted,300,ratio2,5.280718377366725,mean
c,mean,music_weighted,300,ratio4,5.226556034297144,mean
c,mean,music_weighted,300,ratio10,5.21430944586079,mean
