Output,B,"Balanced
MAE","10:1:1
MAE",I(B),"MCSE
I(B)","Mean |I|
42 arrangements"
Weighted,60,31.676,31.675,−0.0013,0.0026,0.0058
Weighted,300,31.672,31.672,+0.0007,0.0006,0.0007
Ordinary NNLS,60,37.557,37.477,−0.0793,0.0486,0.0983
Ordinary NNLS,300,37.574,37.556,−0.0181,0.0129,0.0227
