method,sample_id,budget,B_pred,T_pred,NK_pred,Monocytes_pred,B_truth,T_truth,NK_truth,Monocytes_truth
nnls,36TS,60,0.0,0.0,0.0,1.0,0.077069087748988,0.4741235392320533,0.0882749788460219,0.3605323941729366
nnls,36TS,300,0.0,0.0,0.0,1.0,0.077069087748988,0.4741235392320533,0.0882749788460219,0.3605323941729366
nnls,453W,60,0.0,0.0,0.0,1.0,0.056351816611851104,0.6308147528901894,0.0745784338528891,0.2382549966450705
nnls,453W,300,0.0,0.0,0.0,1.0,0.056351816611851104,0.6308147528901894,0.0745784338528891,0.2382549966450705
nnls,4DUY,60,0.0,0.0,0.0,1.0,0.0887978306718891,0.5475986742994878,0.0954504368785778,0.2681530581500452
nnls,4DUY,300,0.0,0.0,0.0,1.0,0.0887978306718891,0.5475986742994878,0.0954504368785778,0.2681530581500452
nnls,684C,60,0.0,0.0,0.0002781524611306666,0.9997218475388694,0.1029995982680891,0.5550819086729456,0.0942954068651519,0.2476230861938133
nnls,684C,300,0.0,0.0,0.0,1.0,0.1029995982680891,0.5550819086729456,0.0942954068651519,0.2476230861938133
nnls,925L,60,0.0,0.0,4.7385174321712496e-05,0.9999526148256783,0.1780626129113403,0.4863477326259461,0.1107960392416931,0.22479361522102032
nnls,925L,300,0.0,0.0,0.0,1.0,0.1780626129113403,0.4863477326259461,0.1107960392416931,0.22479361522102032
nnls,9JD4,60,0.0,0.0,0.0025585897082666667,0.9974414102917334,0.0858492986657543,0.6521125555935683,0.0805037632569278,0.1815343824837495
nnls,9JD4,300,0.0,0.0,0.0009572452592271309,0.9990427547407729,0.0858492986657543,0.6521125555935683,0.0805037632569278,0.1815343824837495
nnls,CR3L,60,0.0,0.0,0.013117439572196259,0.9868825604278038,0.12066279241678128,0.5750076764735985,0.1228235775778735,0.1815059535317464
nnls,CR3L,300,0.0,0.0,0.012804856488777206,0.9871951435112228,0.12066279241678128,0.5750076764735985,0.1228235775778735,0.1815059535317464
nnls,CYFZ,60,0.0,0.0,0.003771074967502484,0.9962289250324975,0.0931952662721893,0.556440600819299,0.1593081474738279,0.1910559854346836
nnls,CYFZ,300,0.0,0.0,0.002138746824853743,0.9978612531751462,0.0931952662721893,0.556440600819299,0.1593081474738279,0.1910559854346836
nnls,CZJE,60,0.0,0.0,0.002367967184907242,0.9976320328150927,0.1365250134480903,0.4483055406132329,0.1699838622915546,0.2451855836471221
nnls,CZJE,300,0.0,0.0,0.0009635769758221285,0.9990364230241778,0.1365250134480903,0.4483055406132329,0.1699838622915546,0.2451855836471221
nnls,FLWA,60,0.0,0.0,2.344784480247678e-05,0.9999765521551977,0.0935270625448008,0.4472573359578559,0.22187076881065892,0.23734483268668433
nnls,FLWA,300,0.0,0.0,0.0,1.0,0.0935270625448008,0.4472573359578559,0.22187076881065892,0.23734483268668433
nnls,FY2H,60,0.0,0.0,0.0,1.0,0.074961853539234,0.5433571049812244,0.0281363965933316,0.3535446448862099
nnls,FY2H,300,0.0,0.0,0.0,1.0,0.074961853539234,0.5433571049812244,0.0281363965933316,0.3535446448862099
nnls,G4YW,60,0.0,0.0,2.654815584101012e-05,0.999973451844159,0.0753981428923327,0.5013441004166176,0.1874243608829294,0.23583339580812032
nnls,G4YW,300,0.0,0.0,0.0,1.0,0.0753981428923327,0.5013441004166176,0.1874243608829294,0.23583339580812032
weighted,36TS,60,0.0,0.0,0.4337617417135622,0.5662382582864378,0.077069087748988,0.4741235392320533,0.0882749788460219,0.3605323941729366
weighted,36TS,300,0.0,0.0,0.4429643182068239,0.5570356817931761,0.077069087748988,0.4741235392320533,0.0882749788460219,0.3605323941729366
weighted,453W,60,0.0,0.0,0.5670738407992288,0.43292615920077115,0.056351816611851104,0.6308147528901894,0.0745784338528891,0.2382549966450705
weighted,453W,300,0.0,0.0,0.5617149557901657,0.43828504420983433,0.056351816611851104,0.6308147528901894,0.0745784338528891,0.2382549966450705
weighted,4DUY,60,0.0,0.0,0.4406368595744553,0.5593631404255448,0.0887978306718891,0.5475986742994878,0.0954504368785778,0.2681530581500452
weighted,4DUY,300,0.0,0.0,0.4234572714325369,0.5765427285674631,0.0887978306718891,0.5475986742994878,0.0954504368785778,0.2681530581500452
weighted,684C,60,0.0,0.0,0.5573328104359151,0.44266718956408485,0.1029995982680891,0.5550819086729456,0.0942954068651519,0.2476230861938133
weighted,684C,300,0.0,0.0,0.563157445916182,0.4368425540838179,0.1029995982680891,0.5550819086729456,0.0942954068651519,0.2476230861938133
weighted,925L,60,0.0,0.0,0.5654776797349784,0.4345223202650215,0.1780626129113403,0.4863477326259461,0.1107960392416931,0.22479361522102032
weighted,925L,300,0.0,0.0,0.5783184732758431,0.421681526724157,0.1780626129113403,0.4863477326259461,0.1107960392416931,0.22479361522102032
weighted,9JD4,60,0.0,0.0,0.5678027092454243,0.4321972907545757,0.0858492986657543,0.6521125555935683,0.0805037632569278,0.1815343824837495
weighted,9JD4,300,0.0,0.0,0.583666719008047,0.4163332809919531,0.0858492986657543,0.6521125555935683,0.0805037632569278,0.1815343824837495
