method,budget,balanced_mae_pp,ratio10_mae_pp,I_pp,I_mcse_pp,arrangement_mean_abs_I_pp,arrangement_min_I_pp,arrangement_max_I_pp,arrangement_positive_count,arrangement_count
weighted,60,31.676254353663058,31.674990847535252,-0.0012635061278068469,0.0026160189104091898,0.005760035856557768,-0.05258879656714371,0.05289563729884398,17,42
weighted,300,31.671751050333654,31.672420918522548,0.000669868188893244,0.0005766363597372696,0.000748627946442124,-0.0016539549085097002,0.011997090682210616,22,42
nnls,60,37.556720106631005,37.477441115639046,-0.07927899099196292,0.04857016371609156,0.09825678904659177,-0.2815480092369783,0.1432424516604307,10,42
nnls,300,37.574307872899645,37.556253254021875,-0.018054618877775232,0.012893960287294634,0.022681355492844477,-0.1380375095113668,0.06215570433017476,9,42
