panel,held_out,method,budget,value_pp,quantity,summary
b,IGTB1913,music_nnls,300,0.0626886971578181,strong_imbalance_penalty,donor
b,HC-572,music_nnls,60,-0.4071939717194763,strong_imbalance_penalty,donor
b,HC-572,music_nnls,120,-0.6675771232463575,strong_imbalance_penalty,donor
b,HC-572,music_nnls,300,-0.4298672133489162,strong_imbalance_penalty,donor
b,HC-014,music_nnls,60,0.2758237199791335,strong_imbalance_penalty,donor
b,HC-014,music_nnls,120,-0.0577396697313658,strong_imbalance_penalty,donor
b,HC-014,music_nnls,300,-0.1084585454702565,strong_imbalance_penalty,donor
b,IGTB1921,music_nnls,60,0.1274872215413224,strong_imbalance_penalty,donor
b,IGTB1921,music_nnls,120,0.341758618755747,strong_imbalance_penalty,donor
b,IGTB1921,music_nnls,300,-0.169459707592553,strong_imbalance_penalty,donor
b,IGTB826,music_nnls,60,-0.3536368509529967,strong_imbalance_penalty,donor
b,IGTB826,music_nnls,120,-0.121829280471184,strong_imbalance_penalty,donor
b,IGTB826,music_nnls,300,-0.202634759416594,strong_imbalance_penalty,donor
b,IGTB1966,music_nnls,60,-0.065814602375505,strong_imbalance_penalty,donor
b,IGTB1966,music_nnls,120,-0.2690011946903579,strong_imbalance_penalty,donor
b,IGTB1966,music_nnls,300,0.3096171214301487,strong_imbalance_penalty,donor
b,IGTB498,music_nnls,60,0.6903944790586266,strong_imbalance_penalty,donor
b,IGTB498,music_nnls,120,0.8221364200242602,strong_imbalance_penalty,donor
b,IGTB498,music_nnls,300,0.1485703754980241,strong_imbalance_penalty,donor
b,mean,music_nnls,60,0.16748300875928418,strong_imbalance_penalty,mean
b,mean,music_nnls,120,0.06604592112293033,strong_imbalance_penalty,mean
b,mean,music_nnls,300,-0.030046009304967574,strong_imbalance_penalty,mean
c,HC-502,music_weighted,0,-1.008943054434558,I300_minus_I60,donor
c,IGTB256,music_weighted,0,-0.8577628688455321,I300_minus_I60,donor
c,IGTB514,music_weighted,0,-0.4903477603094591,I300_minus_I60,donor
c,IGTB1506,music_weighted,0,-1.0428824461198392,I300_minus_I60,donor
c,IGTB508,music_weighted,0,-0.7796753565486406,I300_minus_I60,donor
c,IGTB1650,music_weighted,0,-0.7286539308901874,I300_minus_I60,donor
c,IGTB195,music_weighted,0,-0.9832917620042508,I300_minus_I60,donor
c,IGTB1913,music_weighted,0,-0.5113609820938114,I300_minus_I60,donor
c,HC-572,music_weighted,0,-0.1887609410729115,I300_minus_I60,donor
c,HC-014,music_weighted,0,0.2175394746517714,I300_minus_I60,donor
c,IGTB1921,music_weighted,0,-1.04531812611647,I300_minus_I60,donor
c,IGTB826,music_weighted,0,-1.1517553319966969,I300_minus_I60,donor
c,IGTB1966,music_weighted,0,-0.2973002782014889,I300_minus_I60,donor
c,IGTB498,music_weighted,0,-0.752154282824897,I300_minus_I60,donor
c,mean,music_weighted,0,-0.6871905462004978,I300_minus_I60,mean
