reference_id,sample_id,method,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,B,T,NK,Monocytes,mae_pp,direct_mae_pp,change_pp
d00_d01_d02_b3_n300_balanced,453W,weighted,0.164284515941303,0.393366124385616,0,0,0.0111238835937323,0.431225476079349,0.164284515941303,0,0.431225476079349,0.4044900079793483,31.540737644509477,34.35832847510201,-2.817590830592536
d00_d01_d02_b3_n300_balanced,453W,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,38.087250167746475,38.08725016774648,-7.105427357601002e-15
d00_d01_d02_b3_n300_balanced,684C,weighted,0.222123823380673,0.392197862377532,0,0,0.0136437455103889,0.372034568731406,0.222123823380673,0,0.372034568731406,0.4058416078879209,27.75409543364728,32.90407534705174,-5.149979913404458
d00_d01_d02_b3_n300_balanced,684C,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,37.618845690309335,37.618845690309335,0.0
d00_d01_d02_b3_n300_balanced,CR3L,weighted,0.243520791822575,0.327020882835426,0,0,0.0295950114124769,0.399863313929522,0.243520791822575,0,0.399863313929522,0.3566158942479029,28.750383823679933,34.783523444519,-6.033139620839066
d00_d01_d02_b3_n300_balanced,CR3L,nnls,0.0,0.957711865626974,0,0,0.0422881343730263,0.0,0.0,0,0.0,1.0000000000000002,40.92470232341268,40.924702323412674,7.105427357601002e-15
d00_d01_d02_b3_n300_balanced,FLWA,weighted,0.207569419134885,0.327440713066113,0,0,0.0,0.464989867799001,0.207569419134885,0,0.464989867799001,0.327440713066113,22.36286679789277,27.03921992513285,-4.6763531272400805
d00_d01_d02_b3_n300_balanced,FLWA,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,38.13275836566579,38.13275836566577,1.4210854715202004e-14
d00_d01_d02_b3_n300_balanced,FY2H,weighted,0.116125122578867,0.299360784864659,0,0,0.163062092612406,0.421451999944068,0.116125122578867,0,0.421451999944068,0.462422877477065,27.16785524906122,30.91594792602293,-3.7480926769617113
d00_d01_d02_b3_n300_balanced,FY2H,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,32.322767755689505,32.3227677556895,7.105427357601002e-15
d00_d01_d02_b3_n300_balanced,CYFZ,weighted,0.146296827397788,0.221375319552605,0,0,0.0546939597512585,0.577633893298349,0.146296827397788,0,0.577633893298349,0.2760692793038635,27.822030040964968,32.48179335457442,-4.659763313609453
d00_d01_d02_b3_n300_balanced,CYFZ,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,40.44720072826582,40.44720072826582,0.0
d00_d01_d02_b3_n300_balanced,925L,weighted,0.206306819575978,0.267989887107512,0,0,0.0571824331347235,0.468520860181786,0.206306819575978,0,0.468520860181786,0.32517232024223547,24.317386631297296,33.22051727686433,-8.903130645567032
d00_d01_d02_b3_n300_balanced,925L,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,38.76031923894898,38.76031923894898,0.0
d00_d01_d02_b3_n300_balanced,9JD4,weighted,0.241119231587424,0.174722022088663,0,0,0.090892517085419,0.493266229238494,0.241119231587424,0,0.493266229238494,0.265614539174082,32.605627779678414,36.89809271296613,-4.292464933287718
d00_d01_d02_b3_n300_balanced,9JD4,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,40.923280875812516,40.92328087581252,-7.105427357601002e-15
d00_d01_d02_b3_n300_balanced,G4YW,weighted,0.195225727409206,0.271910019256562,0,0,0.0499425265734804,0.482921726760752,0.195225727409206,0,0.482921726760752,0.3218525458300424,25.06720502083089,28.837112165447515,-3.7699071446166244
d00_d01_d02_b3_n300_balanced,G4YW,nnls,0.0,0.981704888393601,0,0,0.0182951116063985,0.0,0.0,0,0.0,0.9999999999999996,38.208330209593974,38.20833020959399,-1.4210854715202004e-14
d00_d01_d02_b3_n300_balanced,4DUY,weighted,0.25078227743355,0.336462328673738,0,0,0.0423228807301209,0.370432513162591,0.25078227743355,0,0.370432513162591,0.3787852094038589,27.379933714974392,31.81982524856885,-4.439891533594459
d00_d01_d02_b3_n300_balanced,4DUY,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,36.59234709249773,36.59234709249773,0.0
d00_d01_d02_b3_n300_balanced,CZJE,weighted,0.249377376983992,0.342098495273469,0,0,0.0030889703211429,0.405435157421396,0.249377376983992,0,0.405435157421396,0.34518746559461194,22.415277030661645,29.24152770306616,-6.826250672404516
d00_d01_d02_b3_n300_balanced,CZJE,nnls,0.0,0.970865719635056,0,0,0.0291342803649445,0.0,0.0,0,0.0,1.0000000000000004,37.740720817643904,37.74072081764389,1.4210854715202004e-14
d00_d01_d02_b3_n300_balanced,36TS,weighted,0.167130013367514,0.350767847054763,0,0,0.0926412352585456,0.389460904319177,0.167130013367514,0,0.389460904319177,0.4434090823133086,23.706176961602658,27.55963134905208,-3.853454387449421
d00_d01_d02_b3_n300_balanced,36TS,nnls,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,1.0,31.973380291353166,31.97338029135317,-3.552713678800501e-15
