arm,method,mae_pp,donor_min_mae_pp,donor_max_mae_pp,change_from_direct_pp,donors_improved,donors,B_zero_fits,T_zero_fits,fits
author_tpm,nnls,37.42112031824869,31.973380291353163,40.7098850815522,-0.174056178188442,5,12,168,168,168
author_tpm,weighted,31.67163291069733,27.03921992513284,36.89809271296614,5.921189464667501e-16,0,12,168,168,168
direct_counts,nnls,37.595176496437126,31.97338029135317,40.92328087581252,0.0,0,12,168,168,168
direct_counts,weighted,31.67163291069733,27.039219925132837,36.89809271296614,0.0,0,12,168,168,168
length_scaled,nnls,37.64432529641166,31.973380291353163,40.92470232341267,0.04914879997452637,0,12,168,168,168
length_scaled,weighted,31.76339412838107,27.03921992513284,36.898092712966125,0.09176121768374124,0,12,168,168,168
