source,held_out,triple_id,dominant_donor,method,budget,level,mae_penalty_pp,rmse_penalty_pp,absolute_error_0_penalty_pp,absolute_error_1_penalty_pp,absolute_error_2_penalty_pp,absolute_error_3_penalty_pp,absolute_error_4_penalty_pp,absolute_error_5_penalty_pp,source_csv_line,source_csv,source_csv_sha256,source_review,source_review_sha256,unit,contrast,targets_averaged,reference_draws_averaged,plot_y,panel
original_grouping,HC-014,3,IGTB1913,music_weighted,60,ratio10,-0.5099920558485591,-0.4244005656432071,-0.2374711221352536,-0.2178857954007258,0.419068807911272,0.2420472256759389,-0.4495110760885699,-2.816200375054028,191,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.22909090909090912,a
original_grouping,HC-014,3,IGTB195,music_weighted,60,ratio10,-0.3494386497542273,-0.1388147994079827,-0.0964236545495531,-0.4431556597849175,0.0816012394074005,0.7495316298440787,-1.820453563504272,-0.5677318899380949,209,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.28,a
original_grouping,HC-502,0,IGTB1506,music_weighted,60,ratio10,1.1518622841189343,1.2025356567848764,1.6946859207698366,1.2446463658360252,0.7023450599129313,1.1836823705932764,1.4515849167938408,0.6342290708076886,227,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.72,a
original_grouping,HC-502,0,IGTB256,music_weighted,60,ratio10,1.0405653306034086,1.0122976773415615,1.8249298813074937,1.0589841834784943,0.4682447630336961,0.93810435419824,1.4475414218156653,0.5055873797868544,245,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.7709090909090909,a
original_grouping,HC-502,0,IGTB514,music_weighted,60,ratio10,1.0401576298741504,1.0162381055973837,1.5273157519031395,1.2453538917420834,0.566136922084921,0.99780827287275,1.2575500001935072,0.6467809404484937,263,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.8218181818181818,a
original_grouping,HC-502,1,IGTB1650,music_weighted,60,ratio10,1.1069897878887835,1.330985010068085,2.171625490116797,0.5605724703762947,1.6243805345599127,1.1029043493138582,0.8101836632849252,0.3722722196809039,281,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.8727272727272727,a
original_grouping,HC-502,1,IGTB195,music_weighted,60,ratio10,1.2374529585745648,1.4663015901820575,1.845212989788332,0.3397457072303435,1.4741331434864862,1.4562476265094426,0.991804129270914,1.3175741551618687,299,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.9236363636363636,a
original_grouping,HC-502,1,IGTB508,music_weighted,60,ratio10,1.0177937913485833,1.230106812166463,1.8662103220069488,0.5687168186416525,1.3992754236748328,1.1654191167500882,0.666792926338364,0.4403481406796121,317,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,0.9745454545454546,a
original_grouping,HC-502,2,HC-014,music_weighted,60,ratio10,0.950138021003403,1.3432790554982237,0.1491359285330121,0.765651974903808,2.114251230940787,1.7183824498424536,-0.0616850582520267,1.0150916000523875,335,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,1.0254545454545454,a
original_grouping,HC-502,2,HC-572,music_weighted,60,ratio10,1.1661650057177038,1.4815399813026362,0.3080866198855002,1.4258168442079715,1.5721355838968791,2.1642557554637034,0.5940276920634264,0.932667538788742,353,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,1.0763636363636364,a
original_grouping,HC-502,2,IGTB1913,music_weighted,60,ratio10,1.1223840969784482,1.5117508075919777,0.6723658405974494,1.206409527341349,1.4578893358592384,2.236368005683088,0.0323223276513611,1.1289495447382043,371,results/music_external_review/20260917T133518483857Z/reference_arrangement_penalties.csv,67d11393f1ae62361838d60f4aeba6a374e9854a6ea36d10606df46bd45989a9,results/music_external_review/20260917T133518483857Z/review.json,f8bbd3cd9256b33aeb731d98a280a49da00f052fd0d181dcf29d6cb4bc00143d,percentage points,MAE(ratio10) - MAE(balanced),60,3,1.1272727272727272,a
